species,chromosome,type,chunks,length_kb
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,91,455
Carex_riparia,OZ206386.1,array,4,20
Carex_riparia,OZ206386.1,gap,125,625
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,52,260
Carex_riparia,OZ206386.1,array,5,25
Carex_riparia,OZ206386.1,gap,99,495
Carex_riparia,OZ206386.1,array,3,15
Carex_riparia,OZ206386.1,gap,92,460
Carex_riparia,OZ206386.1,array,6,30
Carex_riparia,OZ206386.1,gap,22,110
Carex_riparia,OZ206387.1,gap,2,10
Carex_riparia,OZ206387.1,array,1,5
Carex_riparia,OZ206387.1,gap,427,2135
Carex_riparia,OZ206387.1,array,3,15
Carex_riparia,OZ206387.1,gap,278,1390
Carex_riparia,OZ206387.1,array,4,20
Carex_riparia,OZ206387.1,gap,331,1655
Carex_riparia,OZ206387.1,array,4,20
Carex_riparia,OZ206387.1,gap,202,1010
Carex_riparia,OZ206387.1,array,5,25
Carex_riparia,OZ206387.1,gap,120,600
Carex_riparia,OZ206387.1,array,5,25
Carex_riparia,OZ206387.1,gap,215,1075
Carex_riparia,OZ206387.1,array,5,25
Carex_riparia,OZ206387.1,gap,4,20
Carex_riparia,OZ206387.1,array,1,5
Carex_riparia,OZ206387.1,gap,10,50
Carex_riparia,OZ206387.1,array,2,10
Carex_riparia,OZ206387.1,gap,17,85
Carex_riparia,OZ206387.1,array,1,5
Carex_riparia,OZ206387.1,gap,115,575
Carex_riparia,OZ206387.1,array,4,20
Carex_riparia,OZ206387.1,gap,52,260
Carex_riparia,OZ206387.1,array,3,15
Carex_riparia,OZ206387.1,gap,134,670
Carex_riparia,OZ206387.1,array,4,20
Carex_riparia,OZ206387.1,gap,231,1155
Carex_riparia,OZ206387.1,array,4,20
Carex_riparia,OZ206387.1,gap,46,230
Carex_riparia,OZ206387.1,array,5,25
Carex_riparia,OZ206387.1,gap,37,185
Carex_riparia,OZ206387.1,array,1,5
Carex_riparia,OZ206387.1,gap,96,480
Carex_riparia,OZ206387.1,array,2,10
Carex_riparia,OZ206387.1,gap,2,10
Carex_riparia,OZ206387.1,array,2,10
Carex_riparia,OZ206387.1,gap,700,3500
Carex_riparia,OZ206387.1,array,5,25
Carex_riparia,OZ206387.1,gap,335,1675
Carex_riparia,OZ206388.1,gap,2,10
Carex_riparia,OZ206388.1,array,5,25
Carex_riparia,OZ206388.1,gap,149,745
Carex_riparia,OZ206388.1,array,6,30
Carex_riparia,OZ206388.1,gap,188,940
Carex_riparia,OZ206388.1,array,2,10
Carex_riparia,OZ206388.1,gap,49,245
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,210,1050
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,161,805
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,16,80
Carex_riparia,OZ206388.1,array,1,5
Carex_riparia,OZ206388.1,gap,53,265
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,16,80
Carex_riparia,OZ206388.1,array,2,10
Carex_riparia,OZ206388.1,gap,22,110
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,14,70
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,23,115
Carex_riparia,OZ206388.1,array,1,5
Carex_riparia,OZ206388.1,gap,1,5
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,52,260
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,151,755
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,157,785
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,104,520
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,83,415
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,99,495
Carex_riparia,OZ206388.1,array,5,25
Carex_riparia,OZ206388.1,gap,85,425
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,144,720
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,99,495
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,132,660
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,88,440
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,139,695
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,142,710
Carex_riparia,OZ206388.1,array,5,25
Carex_riparia,OZ206388.1,gap,133,665
Carex_riparia,OZ206388.1,array,5,25
Carex_riparia,OZ206388.1,gap,95,475
Carex_riparia,OZ206388.1,array,5,25
Carex_riparia,OZ206388.1,gap,117,585
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,96,480
Carex_riparia,OZ206388.1,array,2,10
Carex_riparia,OZ206388.1,gap,109,545
Carex_riparia,OZ206388.1,array,4,20
Carex_riparia,OZ206388.1,gap,31,155
Carex_riparia,OZ206388.1,array,2,10
Carex_riparia,OZ206388.1,gap,92,460
Carex_riparia,OZ206388.1,array,3,15
Carex_riparia,OZ206388.1,gap,1,5
Carex_riparia,OZ206389.1,gap,1,5
Carex_riparia,OZ206389.1,array,3,15
Carex_riparia,OZ206389.1,gap,179,895
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,4,20
Carex_riparia,OZ206389.1,array,3,15
Carex_riparia,OZ206389.1,gap,674,3370
Carex_riparia,OZ206389.1,array,6,30
Carex_riparia,OZ206389.1,gap,132,660
Carex_riparia,OZ206389.1,array,6,30
Carex_riparia,OZ206389.1,gap,209,1045
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,167,835
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,97,485
Carex_riparia,OZ206389.1,array,5,25
Carex_riparia,OZ206389.1,gap,76,380
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,18,90
Carex_riparia,OZ206389.1,array,3,15
Carex_riparia,OZ206389.1,gap,168,840
Carex_riparia,OZ206389.1,array,5,25
Carex_riparia,OZ206389.1,gap,242,1210
Carex_riparia,OZ206389.1,array,3,15
Carex_riparia,OZ206389.1,gap,191,955
Carex_riparia,OZ206389.1,array,5,25
Carex_riparia,OZ206389.1,gap,126,630
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,163,815
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,158,790
Carex_riparia,OZ206389.1,array,5,25
Carex_riparia,OZ206389.1,gap,105,525
Carex_riparia,OZ206389.1,array,4,20
Carex_riparia,OZ206389.1,gap,76,380
Carex_riparia,OZ206389.1,array,9,45
Carex_riparia,OZ206389.1,gap,27,135
Carex_riparia,OZ206389.1,array,2,10
Carex_riparia,OZ206389.1,gap,12,60
Carex_riparia,OZ206389.1,array,2,10
Carex_riparia,OZ206389.1,gap,1,5
Carex_riparia,OZ206389.1,array,1,5
Carex_riparia,OZ206389.1,gap,220,1100
Carex_riparia,OZ206390.1,gap,156,780
Carex_riparia,OZ206390.1,array,6,30
Carex_riparia,OZ206390.1,gap,205,1025
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,106,530
Carex_riparia,OZ206390.1,array,1,5
Carex_riparia,OZ206390.1,gap,3,15
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,114,570
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,45,225
Carex_riparia,OZ206390.1,array,5,25
Carex_riparia,OZ206390.1,gap,159,795
Carex_riparia,OZ206390.1,array,1,5
Carex_riparia,OZ206390.1,gap,3,15
Carex_riparia,OZ206390.1,array,5,25
Carex_riparia,OZ206390.1,gap,1,5
Carex_riparia,OZ206390.1,array,2,10
Carex_riparia,OZ206390.1,gap,125,625
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,159,795
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,126,630
Carex_riparia,OZ206390.1,array,3,15
Carex_riparia,OZ206390.1,gap,80,400
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,69,345
Carex_riparia,OZ206390.1,array,2,10
Carex_riparia,OZ206390.1,gap,1,5
Carex_riparia,OZ206390.1,array,5,25
Carex_riparia,OZ206390.1,gap,180,900
Carex_riparia,OZ206390.1,array,3,15
Carex_riparia,OZ206390.1,gap,172,860
Carex_riparia,OZ206390.1,array,3,15
Carex_riparia,OZ206390.1,gap,1,5
Carex_riparia,OZ206390.1,array,1,5
Carex_riparia,OZ206390.1,gap,79,395
Carex_riparia,OZ206390.1,array,5,25
Carex_riparia,OZ206390.1,gap,75,375
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,54,270
Carex_riparia,OZ206390.1,array,3,15
Carex_riparia,OZ206390.1,gap,82,410
Carex_riparia,OZ206390.1,array,3,15
Carex_riparia,OZ206390.1,gap,119,595
Carex_riparia,OZ206390.1,array,5,25
Carex_riparia,OZ206390.1,gap,127,635
Carex_riparia,OZ206390.1,array,6,30
Carex_riparia,OZ206390.1,gap,100,500
Carex_riparia,OZ206390.1,array,3,15
Carex_riparia,OZ206390.1,gap,116,580
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,100,500
Carex_riparia,OZ206390.1,array,6,30
Carex_riparia,OZ206390.1,gap,2,10
Carex_riparia,OZ206390.1,array,1,5
Carex_riparia,OZ206390.1,gap,70,350
Carex_riparia,OZ206390.1,array,5,25
Carex_riparia,OZ206390.1,gap,134,670
Carex_riparia,OZ206390.1,array,4,20
Carex_riparia,OZ206390.1,gap,146,730
Carex_riparia,OZ206390.1,array,1,5
Carex_riparia,OZ206390.1,gap,8,40
Carex_riparia,OZ206391.1,gap,9,45
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,67,335
Carex_riparia,OZ206391.1,array,2,10
Carex_riparia,OZ206391.1,gap,92,460
Carex_riparia,OZ206391.1,array,6,30
Carex_riparia,OZ206391.1,gap,89,445
Carex_riparia,OZ206391.1,array,5,25
Carex_riparia,OZ206391.1,gap,172,860
Carex_riparia,OZ206391.1,array,3,15
Carex_riparia,OZ206391.1,gap,130,650
Carex_riparia,OZ206391.1,array,6,30
Carex_riparia,OZ206391.1,gap,105,525
Carex_riparia,OZ206391.1,array,5,25
Carex_riparia,OZ206391.1,gap,102,510
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,135,675
Carex_riparia,OZ206391.1,array,6,30
Carex_riparia,OZ206391.1,gap,38,190
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,155,775
Carex_riparia,OZ206391.1,array,3,15
Carex_riparia,OZ206391.1,gap,109,545
Carex_riparia,OZ206391.1,array,3,15
Carex_riparia,OZ206391.1,gap,45,225
Carex_riparia,OZ206391.1,array,2,10
Carex_riparia,OZ206391.1,gap,83,415
Carex_riparia,OZ206391.1,array,5,25
Carex_riparia,OZ206391.1,gap,155,775
Carex_riparia,OZ206391.1,array,3,15
Carex_riparia,OZ206391.1,gap,154,770
Carex_riparia,OZ206391.1,array,3,15
Carex_riparia,OZ206391.1,gap,71,355
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,113,565
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,78,390
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,134,670
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,97,485
Carex_riparia,OZ206391.1,array,5,25
Carex_riparia,OZ206391.1,gap,92,460
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,107,535
Carex_riparia,OZ206391.1,array,3,15
Carex_riparia,OZ206391.1,gap,92,460
Carex_riparia,OZ206391.1,array,5,25
Carex_riparia,OZ206391.1,gap,116,580
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,67,335
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,87,435
Carex_riparia,OZ206391.1,array,4,20
Carex_riparia,OZ206391.1,gap,155,775
Carex_riparia,OZ206391.1,array,5,25
Carex_riparia,OZ206391.1,gap,5,25
Carex_riparia,OZ206392.1,gap,3,15
Carex_riparia,OZ206392.1,array,5,25
Carex_riparia,OZ206392.1,gap,126,630
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,60,300
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,95,475
Carex_riparia,OZ206392.1,array,3,15
Carex_riparia,OZ206392.1,gap,141,705
Carex_riparia,OZ206392.1,array,7,35
Carex_riparia,OZ206392.1,gap,56,280
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,162,810
Carex_riparia,OZ206392.1,array,5,25
Carex_riparia,OZ206392.1,gap,146,730
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,141,705
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,93,465
Carex_riparia,OZ206392.1,array,3,15
Carex_riparia,OZ206392.1,gap,147,735
Carex_riparia,OZ206392.1,array,3,15
Carex_riparia,OZ206392.1,gap,1,5
Carex_riparia,OZ206392.1,array,1,5
Carex_riparia,OZ206392.1,gap,147,735
Carex_riparia,OZ206392.1,array,2,10
Carex_riparia,OZ206392.1,gap,120,600
Carex_riparia,OZ206392.1,array,2,10
Carex_riparia,OZ206392.1,gap,73,365
Carex_riparia,OZ206392.1,array,6,30
Carex_riparia,OZ206392.1,gap,152,760
Carex_riparia,OZ206392.1,array,3,15
Carex_riparia,OZ206392.1,gap,93,465
Carex_riparia,OZ206392.1,array,5,25
Carex_riparia,OZ206392.1,gap,44,220
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,156,780
Carex_riparia,OZ206392.1,array,5,25
Carex_riparia,OZ206392.1,gap,125,625
Carex_riparia,OZ206392.1,array,5,25
Carex_riparia,OZ206392.1,gap,1,5
Carex_riparia,OZ206392.1,array,1,5
Carex_riparia,OZ206392.1,gap,145,725
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,206,1030
Carex_riparia,OZ206392.1,array,5,25
Carex_riparia,OZ206392.1,gap,72,360
Carex_riparia,OZ206392.1,array,4,20
Carex_riparia,OZ206392.1,gap,111,555
Carex_riparia,OZ206392.1,array,3,15
Carex_riparia,OZ206392.1,gap,209,1045
Carex_riparia,OZ206392.1,array,3,15
Carex_riparia,OZ206392.1,gap,1,5
Carex_riparia,OZ206393.1,gap,12,60
Carex_riparia,OZ206393.1,array,5,25
Carex_riparia,OZ206393.1,gap,212,1060
Carex_riparia,OZ206393.1,array,4,20
Carex_riparia,OZ206393.1,gap,89,445
Carex_riparia,OZ206393.1,array,3,15
Carex_riparia,OZ206393.1,gap,195,975
Carex_riparia,OZ206393.1,array,5,25
Carex_riparia,OZ206393.1,gap,113,565
Carex_riparia,OZ206393.1,array,3,15
Carex_riparia,OZ206393.1,gap,189,945
Carex_riparia,OZ206393.1,array,4,20
Carex_riparia,OZ206393.1,gap,27,135
Carex_riparia,OZ206393.1,array,5,25
Carex_riparia,OZ206393.1,gap,1,5
Carex_riparia,OZ206393.1,array,2,10
Carex_riparia,OZ206393.1,gap,335,1675
Carex_riparia,OZ206393.1,array,6,30
Carex_riparia,OZ206393.1,gap,106,530
Carex_riparia,OZ206393.1,array,3,15
Carex_riparia,OZ206393.1,gap,156,780
Carex_riparia,OZ206393.1,array,4,20
Carex_riparia,OZ206393.1,gap,110,550
Carex_riparia,OZ206393.1,array,2,10
Carex_riparia,OZ206393.1,gap,181,905
Carex_riparia,OZ206393.1,array,6,30
Carex_riparia,OZ206393.1,gap,93,465
Carex_riparia,OZ206393.1,array,3,15
Carex_riparia,OZ206393.1,gap,105,525
Carex_riparia,OZ206393.1,array,5,25
Carex_riparia,OZ206393.1,gap,201,1005
Carex_riparia,OZ206393.1,array,4,20
Carex_riparia,OZ206393.1,gap,101,505
Carex_riparia,OZ206393.1,array,5,25
Carex_riparia,OZ206393.1,gap,80,400
Carex_riparia,OZ206393.1,array,3,15
Carex_riparia,OZ206393.1,gap,88,440
Carex_riparia,OZ206393.1,array,7,35
Carex_riparia,OZ206393.1,gap,117,585
Carex_riparia,OZ206393.1,array,2,10
Carex_riparia,OZ206393.1,gap,45,225
Carex_riparia,OZ206393.1,array,5,25
Carex_riparia,OZ206393.1,gap,162,810
Carex_riparia,OZ206393.1,array,4,20
Carex_riparia,OZ206393.1,gap,25,125
Carex_riparia,OZ206394.1,gap,123,615
Carex_riparia,OZ206394.1,array,3,15
Carex_riparia,OZ206394.1,gap,59,295
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,128,640
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,86,430
Carex_riparia,OZ206394.1,array,1,5
Carex_riparia,OZ206394.1,gap,1,5
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,144,720
Carex_riparia,OZ206394.1,array,1,5
Carex_riparia,OZ206394.1,gap,2,10
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,102,510
Carex_riparia,OZ206394.1,array,3,15
Carex_riparia,OZ206394.1,gap,72,360
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,103,515
Carex_riparia,OZ206394.1,array,6,30
Carex_riparia,OZ206394.1,gap,59,295
Carex_riparia,OZ206394.1,array,3,15
Carex_riparia,OZ206394.1,gap,97,485
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,118,590
Carex_riparia,OZ206394.1,array,9,45
Carex_riparia,OZ206394.1,gap,127,635
Carex_riparia,OZ206394.1,array,3,15
Carex_riparia,OZ206394.1,gap,130,650
Carex_riparia,OZ206394.1,array,1,5
Carex_riparia,OZ206394.1,gap,1,5
Carex_riparia,OZ206394.1,array,2,10
Carex_riparia,OZ206394.1,gap,46,230
Carex_riparia,OZ206394.1,array,3,15
Carex_riparia,OZ206394.1,gap,107,535
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,124,620
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,85,425
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,120,600
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,1,5
Carex_riparia,OZ206394.1,array,1,5
Carex_riparia,OZ206394.1,gap,110,550
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,80,400
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,117,585
Carex_riparia,OZ206394.1,array,3,15
Carex_riparia,OZ206394.1,gap,71,355
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,78,390
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,44,220
Carex_riparia,OZ206394.1,array,5,25
Carex_riparia,OZ206394.1,gap,1,5
Carex_riparia,OZ206394.1,array,2,10
Carex_riparia,OZ206394.1,gap,137,685
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,211,1055
Carex_riparia,OZ206394.1,array,4,20
Carex_riparia,OZ206394.1,gap,1,5
Carex_riparia,OZ206395.1,gap,181,905
Carex_riparia,OZ206395.1,array,5,25
Carex_riparia,OZ206395.1,gap,239,1195
Carex_riparia,OZ206395.1,array,5,25
Carex_riparia,OZ206395.1,gap,235,1175
Carex_riparia,OZ206395.1,array,4,20
Carex_riparia,OZ206395.1,gap,162,810
Carex_riparia,OZ206395.1,array,3,15
Carex_riparia,OZ206395.1,gap,175,875
Carex_riparia,OZ206395.1,array,5,25
Carex_riparia,OZ206395.1,gap,193,965
Carex_riparia,OZ206395.1,array,4,20
Carex_riparia,OZ206395.1,gap,194,970
Carex_riparia,OZ206395.1,array,5,25
Carex_riparia,OZ206395.1,gap,207,1035
Carex_riparia,OZ206395.1,array,5,25
Carex_riparia,OZ206395.1,gap,164,820
Carex_riparia,OZ206395.1,array,5,25
Carex_riparia,OZ206395.1,gap,285,1425
Carex_riparia,OZ206395.1,array,4,20
Carex_riparia,OZ206395.1,gap,147,735
Carex_riparia,OZ206395.1,array,4,20
Carex_riparia,OZ206395.1,gap,94,470
Carex_riparia,OZ206395.1,array,3,15
Carex_riparia,OZ206395.1,gap,126,630
Carex_riparia,OZ206395.1,array,4,20
Carex_riparia,OZ206395.1,gap,174,870
Carex_riparia,OZ206396.1,array,4,20
Carex_riparia,OZ206396.1,gap,276,1380
Carex_riparia,OZ206396.1,array,3,15
Carex_riparia,OZ206396.1,gap,276,1380
Carex_riparia,OZ206396.1,array,4,20
Carex_riparia,OZ206396.1,gap,413,2065
Carex_riparia,OZ206396.1,array,4,20
Carex_riparia,OZ206396.1,gap,234,1170
Carex_riparia,OZ206396.1,array,1,5
Carex_riparia,OZ206396.1,gap,3,15
Carex_riparia,OZ206396.1,array,1,5
Carex_riparia,OZ206396.1,gap,435,2175
Carex_riparia,OZ206396.1,array,4,20
Carex_riparia,OZ206396.1,gap,7,35
Carex_riparia,OZ206396.1,array,2,10
Carex_riparia,OZ206396.1,gap,205,1025
Carex_riparia,OZ206396.1,array,2,10
Carex_riparia,OZ206396.1,gap,26,130
Carex_riparia,OZ206396.1,array,4,20
Carex_riparia,OZ206396.1,gap,127,635
Carex_riparia,OZ206396.1,array,4,20
Carex_riparia,OZ206396.1,gap,230,1150
Carex_riparia,OZ206396.1,array,5,25
Carex_riparia,OZ206396.1,gap,160,800
Carex_riparia,OZ206396.1,array,3,15
Carex_riparia,OZ206396.1,gap,5,25
Carex_riparia,OZ206397.1,gap,22,110
Carex_riparia,OZ206397.1,array,5,25
Carex_riparia,OZ206397.1,gap,210,1050
Carex_riparia,OZ206397.1,array,3,15
Carex_riparia,OZ206397.1,gap,267,1335
Carex_riparia,OZ206397.1,array,5,25
Carex_riparia,OZ206397.1,gap,151,755
Carex_riparia,OZ206397.1,array,5,25
Carex_riparia,OZ206397.1,gap,202,1010
Carex_riparia,OZ206397.1,array,3,15
Carex_riparia,OZ206397.1,gap,62,310
Carex_riparia,OZ206397.1,array,5,25
Carex_riparia,OZ206397.1,gap,168,840
Carex_riparia,OZ206397.1,array,4,20
Carex_riparia,OZ206397.1,gap,93,465
Carex_riparia,OZ206397.1,array,3,15
Carex_riparia,OZ206397.1,gap,183,915
Carex_riparia,OZ206397.1,array,4,20
Carex_riparia,OZ206397.1,gap,260,1300
Carex_riparia,OZ206397.1,array,5,25
Carex_riparia,OZ206397.1,gap,153,765
Carex_riparia,OZ206397.1,array,4,20
Carex_riparia,OZ206397.1,gap,232,1160
Carex_riparia,OZ206397.1,array,4,20
Carex_riparia,OZ206397.1,gap,185,925
Carex_riparia,OZ206397.1,array,4,20
Carex_riparia,OZ206397.1,gap,142,710
Carex_riparia,OZ206397.1,array,3,15
Carex_riparia,OZ206397.1,gap,14,70
Carex_riparia,OZ206398.1,gap,18,90
Carex_riparia,OZ206398.1,array,4,20
Carex_riparia,OZ206398.1,gap,176,880
Carex_riparia,OZ206398.1,array,1,5
Carex_riparia,OZ206398.1,gap,3,15
Carex_riparia,OZ206398.1,array,4,20
Carex_riparia,OZ206398.1,gap,117,585
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,29,145
Carex_riparia,OZ206398.1,array,1,5
Carex_riparia,OZ206398.1,gap,154,770
Carex_riparia,OZ206398.1,array,3,15
Carex_riparia,OZ206398.1,gap,109,545
Carex_riparia,OZ206398.1,array,4,20
Carex_riparia,OZ206398.1,gap,54,270
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,180,900
Carex_riparia,OZ206398.1,array,4,20
Carex_riparia,OZ206398.1,gap,113,565
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,108,540
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,114,570
Carex_riparia,OZ206398.1,array,4,20
Carex_riparia,OZ206398.1,gap,133,665
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,116,580
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,84,420
Carex_riparia,OZ206398.1,array,4,20
Carex_riparia,OZ206398.1,gap,191,955
Carex_riparia,OZ206398.1,array,5,25
Carex_riparia,OZ206398.1,gap,68,340
